param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.2,0.00390625,104.081316,0.8192480458269971,68.04500473686736,1.1797183338257609,22.49,0.12267638301439665,49.52,0.2544473115272282,94.38,0.6400410340380727,147.64,1.3950504136287178,199.78,2.5983125837412793,100
0.2,0.005524271728019903,106.253292,0.7379456821072725,68.13347127690402,1.0209813450036211,23.27,0.12859379314867275,50.68,0.2620355438917138,97.6,0.6730002176294544,151.58,1.345263295170627,201.13,2.3512152456364204,100
0.2,0.0078125,106.83386,0.748123207956302,66.70037319743024,0.9275120937975407,24.17,0.13488116730266417,52.35,0.2520121048880411,99.63,0.6309612676005725,151.94,1.380807844354276,199.87,2.3875796036229584,100
0.2,0.011048543456039806,106.55870399999999,0.6465333475723203,63.84363894619109,0.8747951238703804,25.05,0.12007993970348221,53.71,0.28294804462939116,102.24,0.6757143619828565,151.2,1.1596760258143155,193.97,2.2572198417835634,100
0.2,0.015625,104.51520000000001,0.5608931382476822,59.815496305970036,0.6892373950711704,26.07,0.1174260996920569,54.81,0.24108131827290563,101.4,0.5295319068800673,149.33,0.9852503142948912,186.46,1.8099288450771827,100
0.2,0.02209708691207961,100.054108,0.529817566874722,54.24457861529888,0.6441178793729231,27.26,0.1001211387482305,54.4,0.19847906537954926,98.67,0.4228462958321734,143.21,0.9799293934573123,173.81,1.6642221466905653,100
0.2,0.03125,94.648742,0.3969350193599741,48.10647583535011,0.4270695655782462,29.3,0.08468599159080073,54.66,0.1505679483512579,94.23,0.3323789367209625,133.31,0.6813081594115896,159.87,1.1550202237068048,100
0.2,0.04419417382415922,86.16515600000001,0.2749787594894257,39.71288613274989,0.2815539133122305,32.23,0.0694203998777875,53.96,0.10436919705032366,86.13,0.24604138602349734,117.72,0.5150424126891754,139.55,0.758836829188814,100
0.2,0.0625,77.68122,0.1775626624802374,31.884039581665423,0.18711007549418146,34.96,0.07374539876076228,52.6,0.09949366763261822,77.27,0.18138357147217052,102.21,0.3385336770618996,120.65,0.5043998333853729,100
0.2,0.08838834764831845,69.217984,0.09626354203272844,24.61203353669259,0.10248556841096072,36.83,0.05695115752497347,50.22,0.06901910144037202,68.62,0.11351144649262683,87.63,0.18458525718950902,102.36,0.26496426288475317,100
0.2,0.125,62.42526,0.06518663211165773,18.919002871795715,0.07559553897542653,37.87,0.048523658709390974,48.15,0.0519809599951771,61.81,0.0837203135988567,76.08,0.1292402038958091,87.9,0.17724034928351223,100
0.2,0.1767766952966369,57.77650800000001,0.03567119205728731,14.915749227503316,0.048911727109461386,38.66,0.04968588198559897,46.8,0.04264014327112209,57.2,0.055048188256318034,68.3,0.0758786910639328,77.71,0.11659738202442409,100
0.2,0.25,54.790018,0.02747286192193703,12.0178579853327,0.036063068769043256,39.55,0.05,46.04,0.019694638556693237,54.25,0.04351941398892446,62.96,0.06343691688790074,70.81,0.08250497383231335,100
0.2,0.3535533905932738,53.068304,0.018598134908119353,10.093270552134415,0.027034761277580678,40.14,0.034873508801977704,46.0,0.0,52.77,0.042295258468165065,59.82,0.045792681696639005,66.33,0.06971080231639827,100
0.2,0.5,52.028494,0.017526811197347763,8.77592963835252,0.03172854443840356,41.0,0.01421338109037403,46.0,0.0,51.84,0.036845294917747066,57.9,0.041438770700537406,63.52,0.06739001514626733,100
0.2,0.7071067811865476,51.536964,0.013606722159256146,8.063162078243753,0.024656389499484396,41.23,0.04229525846816506,46.0,0.0,51.14,0.0348735088019777,56.88,0.03834979883528818,62.09,0.057022058464379834,100
0.2,1.0,51.264503999999995,0.01218064982426693,7.637110829748251,0.023364773913307373,41.7,0.046056618647183835,46.0,0.0,51.0,0.0,56.28,0.04512608598542131,61.24,0.055267942376620596,100
